iter	MultiClass
0	1.726471402
1	1.662345454
2	1.603967886
3	1.552826401
4	1.505613945
5	1.459588753
6	1.418107116
7	1.380630325
8	1.345360083
9	1.310935646
10	1.279008963
11	1.248797137
12	1.219718484
13	1.192057038
14	1.166591285
15	1.141787124
16	1.118355089
17	1.096215282
18	1.07488407
19	1.054830302
20	1.035706449
21	1.017163936
22	0.9979719084
23	0.9807801641
24	0.9632995421
25	0.9477900902
26	0.9319771366
27	0.9172118726
28	0.9018156182
29	0.8876817009
30	0.8734144776
31	0.8594285042
32	0.8467594818
33	0.8344692303
34	0.8230410998
35	0.811403672
36	0.8002472176
37	0.7885344249
38	0.7778326577
39	0.7675568089
40	0.7575895247
41	0.7481406841
42	0.7384222317
43	0.729119068
44	0.7200707781
45	0.7115379958
46	0.7026998645
47	0.6943136431
48	0.6857554303
49	0.6781972061
50	0.6706025495
51	0.663297247
52	0.6561070003
53	0.6488928676
54	0.6415877012
55	0.6348825406
56	0.6284862657
57	0.6221251912
58	0.6159148241
59	0.609198844
60	0.6029668647
61	0.596893439
62	0.5909258847
63	0.5850203274
64	0.5793160656
65	0.5739208473
66	0.5686420572
67	0.5632877856
68	0.5582730606
69	0.5531747042
70	0.5486545845
71	0.5437521128
72	0.5390856831
73	0.5344764348
74	0.5302605599
75	0.5257952459
76	0.5216985725
77	0.5176297089
78	0.5137650701
79	0.509500059
80	0.5057399586
81	0.5019677408
82	0.498141768
83	0.4941653711
84	0.4904070452
85	0.486534285
86	0.4828639402
87	0.4793529894
88	0.4761945962
89	0.4726191696
90	0.4692650683
91	0.4659490694
92	0.4621282005
93	0.458840124
94	0.4557906473
95	0.4524812436
96	0.4492462379
97	0.4464037699
98	0.4434168417
99	0.4403896453
100	0.4375582956
101	0.4343750566
102	0.4315610869
103	0.4289031943
104	0.4263998077
105	0.4236459243
106	0.4209456055
107	0.4185740121
108	0.4161852101
109	0.4140390709
110	0.4112902939
111	0.4087711308
112	0.406238369
113	0.4039319358
114	0.4016309519
115	0.3989633407
116	0.3969217307
117	0.3947260266
118	0.3925835276
119	0.3907040859
120	0.3887517478
121	0.3867713895
122	0.3846944689
123	0.3821677735
124	0.3803933651
125	0.3782746476
126	0.3762091498
127	0.3741501117
128	0.3721296577
129	0.3704060327
130	0.3685786255
131	0.366731498
132	0.3652468383
133	0.3632278685
134	0.3614588389
135	0.3595032728
136	0.3578317243
137	0.3561233759
138	0.3541767972
139	0.3527683802
140	0.3512625793
141	0.3496878439
142	0.3477880592
143	0.3461900582
144	0.3443281272
145	0.3429268672
146	0.3410911196
147	0.3394326844
148	0.3380557275
149	0.3365915251
150	0.335127408
151	0.3338546547
152	0.332593676
153	0.331246868
154	0.3294953087
155	0.3284479324
156	0.3270795582
157	0.3256324476
158	0.3245152001
159	0.3234248086
160	0.3221245484
161	0.3207654275
162	0.3194629919
163	0.3183035542
164	0.3172705131
165	0.3160084852
166	0.3148100185
167	0.3136594059
168	0.3126096531
169	0.3114147571
170	0.3101590841
171	0.3091056411
172	0.307977333
173	0.3069675784
174	0.3057800597
175	0.3047886945
176	0.3035281824
177	0.3023326504
178	0.3011605391
179	0.2999397601
180	0.2985382896
181	0.2976138647
182	0.2965342122
183	0.2951800351
184	0.2941668671
185	0.2932997326
186	0.2921883624
187	0.2913459537
188	0.2906089584
189	0.2895505541
190	0.2887685359
191	0.2875728611
192	0.2867434163
193	0.2857895554
194	0.2848854268
195	0.283978723
196	0.2830486803
197	0.2821274028
198	0.2812736384
199	0.280234029
200	0.2792265356
201	0.2783206935
202	0.2773370989
203	0.2764328363
204	0.275688338
205	0.2748791535
206	0.2740564828
207	0.2734800831
208	0.2728257845
209	0.2718465048
210	0.2710872429
211	0.2702799818
212	0.2692034021
213	0.2685239471
214	0.2675091023
215	0.2667778561
216	0.2660244885
217	0.2653817832
218	0.2644796696
219	0.2637065735
220	0.263009209
